,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
241,BMW X3 4dr SUV,4,Features/Controls/Displays (FCD),D,"I ABSOLUTELY HATE the automatic shut off on the ignition!  You should have the option to turn that off to stay off, as it is I have to remember to turn it off everytime I start the vehicle.  This can not be good on the engine to keep shutting off and starting",-0.8465
242,BMW X3 4dr SUV,4,Features/Controls/Displays (FCD),D,The lane departure system is on ALL THE TIME in my vehicle.  The slightest veer left of right - or even changing lanes makes it turn on.  When I have time I will find out how to turn off this feature,0.0
244,BMW X3 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,CarPlay disconnects unexpectedly.  Unreliable connection.,0.0
245,BMW X3 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),U,: CarPlay and mobile phone connectivity is very unreliable.,0.0
253,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),D,Difficult to understand,-0.3612
325,BMW X3 4dr SUV,1,Exterior,M,"I would NOT consider the road noise to be 'excessive', but my husband and I were surprised that it was noticeable on the highway at higher speeds.  I did follow-up with the BMW dealer and was told that it could be because of the larger/heavy duty tires , but the noise seems to be coming from the front side windows.",0.3291
263,BMW X3 4dr SUV,1,Interior,D,": This is not a big problem but an annoyance - in the Cargo area, when you pull the cover over - it has left scratch marks on the sides even though I am careful. the marks seam to show up even more with the black interior than they did with the tan interior on my earlier model.",-0.1081
277,BMW X3 4dr SUV,3,Exterior,M,"The automatic open hatch function doesn't work properly, sometimes you have to stay longer and wait for the trunk to be open which is not efficient and practical.",-0.3252
278,BMW X3 4dr SUV,3,Exterior,M,,0.0
279,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),M,"When put the rear gear, occasionally the camera doesn't work, can't see anything on the display screen for the rear view. After turning off the car for 20 min, then restart, the camera works. This happens once in a while, every 2 weeks.",0.0
305,BMW X3 4dr SUV,1,Interior,D,,0.0
310,BMW X3 4dr SUV,2,Exterior,U,All Lights on left side of vehicle stopped working occasionally upon start up.,-0.2263
311,BMW X3 4dr SUV,2,Features/Controls/Displays (FCD),M,All lights on left side of vehicle stopped working occasionally upon starting.,-0.2263
2897,BMW X3 4dr SUV,6,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
2896,BMW X3 4dr SUV,6,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
2895,BMW X3 4dr SUV,6,Features/Controls/Displays (FCD),M,,0.0
2894,BMW X3 4dr SUV,6,Driving Experience,M,It feels very unstable at high speed,-0.4201
270,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,The connectivity with apple card play fails all the time,-0.1027
777,BMW X3 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,Appears that the air conditioning on the passenger side doesn't cool appropriately and just blows outside air.,-0.2411
775,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),M,"Unable to detect appropriate parking spaces more than half of the time. Also, sometimes the system turns on and sometimes it doesn't when I want it to turn on to park a car.",-0.0572
786,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,Cameras don't turn on all the time. Sometimes not working.,0.0
1344,BMW X3 4dr SUV,11,Audio/Communication/Entertainment/Navigation (ACEN),D,"I do not understand why my $150 Garmin can tell me the speed limit, but my $50,000 BMW can't!  I think knowing the speed limit is more important to know than where is the nearest Starbucks!",0.4979
1345,BMW X3 4dr SUV,11,Seats,D,Seat seems slow to heat.,0.0
1346,BMW X3 4dr SUV,11,Seats,M,: One of our keys does not remember seat position.,0.0
1347,BMW X3 4dr SUV,11,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
1348,BMW X3 4dr SUV,11,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
2632,BMW X3 4dr SUV,8,Exterior,M,I think the paint is just extremely fragile such that even the slightest trauma causes it to chip off.,-0.4215
1357,BMW X3 4dr SUV,1,Seats,M,: The driver's side seat heat/ventilation is intermittent.  Does not consistently turn on when button selected.  Cannot determine the cause.,0.0
1368,BMW X3 4dr SUV,1,Exterior,D,Road/engine noise seems to come through ventilation system,0.0
1369,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),M,TPM light turned on shortly after delivery.   I took it to dealership to look at.,0.0
1373,BMW X3 4dr SUV,1,Exterior,M,: Automatic trunk release  very difficult to activate.,-0.4201
1343,BMW X3 4dr SUV,11,Features/Controls/Displays (FCD),M, : Heated steering wheel did not heat.,0.0
1374,BMW X3 4dr SUV,2,Exterior,M,The internal door handles makes it hard to close shut on the first try.  Frequently I have to open and use force to close.,-0.1027
2631,BMW X3 4dr SUV,8,Exterior,M,As above.  Multiple insignificant movements by me cause the tailgate to open at very inopportune times.,-0.34
2629,BMW X3 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Bluetooth bluetooth bluetooth. Keeps dropping. : On-going issues with losing the Bluetooth connection to my iPhone.,-0.3818
2628,BMW X3 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,"Bluetooth connection drops up to five times per day, sometimes only once per day.",0.0
1395,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),M,,0.0
1431,BMW X3 4dr SUV,6,Exterior,M,Hood was severely mis-aligned and wouldnt open of close easily.,-0.1531
1432,BMW X3 4dr SUV,6,Driving Experience,M,Warning lights on screen indicated an issue with the four wheel drive system. Car was difficult to steer whenever this warning came up. Message recommended driving to the dealer for service,-0.705
1433,BMW X3 4dr SUV,6,Driving Experience,M,Steering wheel was tilted to the left as I would drive straight,0.2263
1434,BMW X3 4dr SUV,6,Features/Controls/Displays (FCD),M,Restraint system malfunctioned.,0.0
1435,BMW X3 4dr SUV,6,Seats,M,Restraint system malfunctioned,0.0
1436,BMW X3 4dr SUV,6,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"AC malfunctioned and would not cool at all, making a loud hissing noise",-0.2411
1375,BMW X3 4dr SUV,2,Driving Experience,M,Some period when accelerating from 20mph and higher I can notice additional vibration on the steering wheel.,0.0
1342,BMW X3 4dr SUV,11,Features/Controls/Displays (FCD),D,In our three previous BMW's and apparently in all other 2018 BMW's the method to shut off the car completely was to press the Start/Stop button twice.  This new X3 in order to shut off the car completely - you press the Start/Stop once and open all doors of occupied seats or press the Start/Stop button once and hold the radio button until everything shuts off.  Really the radio shuts off the car - who designs these things?,0.0
1341,BMW X3 4dr SUV,11,Features/Controls/Displays (FCD),D,Way too much information in such a small space.,0.0
1340,BMW X3 4dr SUV,11,Features/Controls/Displays (FCD),D,"Remote does not retain information for each individual driver.  Tailgate opens unintentionly very sensitive in pocket or purse. : Keys do not retain individual  seat memory.  Remote often unintentionally opens tailgate.  Start/stop button works differently than on all other BMW's , not a good design change.  Console buttons, the least used button,  is the largest button, the largest button should be the most used.   Parking Brake and Auto High buttons are easily activated when getting into the car with a purse.  The set up with the 'I Drive' is incredibly complex and difficult to use,  for example, to change balance on radio, it takes many steps. Way too many options and choices - very distractive to the driver who should be watching the road.  All these problems are a daily headache and ones we never experience with our three previous BMW's other than the 'I Drive', which was always a problem.",-0.8768
2652,BMW X3 4dr SUV,3,Interior,D,"re: the front center cup holder - the liquid in an open cup often sloshes out into the open space in front of it where the USB port is, getting anything in the open space wet",0.0
2651,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,Cannot see it when wearing sunglasses.,0.0
2647,BMW X3 4dr SUV,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
2646,BMW X3 4dr SUV,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
2645,BMW X3 4dr SUV,5,Seats,U,"the passenger seat has a pull out leg extension. unfortunately, it doesn't stay closed and opens whenever it wants.",-0.34
2644,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),U,"The collision avoidance/alert system would go off even if there was no one around me. After speaking with the dealer, they said it was a known issue and a problem with the settings. Meanwhile, my car is randomly breaking/stopping while I'm driving down the street.",-0.7506
2643,BMW X3 4dr SUV,5,Driving Experience,M,,0.0
2641,BMW X3 4dr SUV,1,Driving Experience,D,,0.0
1287,BMW X3 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,No satellite radio activated by BMW even though the car came with installed satellite radio and one year subscription,-0.296
1288,BMW X3 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,there are two phones paired with the Apple car play. It will not detect the correct phone unless you go to setting and manually switch to driver # 2. When driver # is in the car and Driver #2 is in it as well. Only connect the driver # 1 via Apple car play.,0.7096
1292,BMW X3 4dr SUV,1,Engine/Transmission,M,Previously responded to this : Tail pipe vibration,0.0
2638,BMW X3 4dr SUV,8,Audio/Communication/Entertainment/Navigation (ACEN),D,Navigation system often gets commands wrong.,-0.4767
2637,BMW X3 4dr SUV,8,Features/Controls/Displays (FCD),D,"very annoying when I am driving.  Unlike many other features, I was able to turn it permanently off.",-0.4576
2636,BMW X3 4dr SUV,8,Features/Controls/Displays (FCD),D,"beeps all the time, when I park, when I go into my garage, sometimes while driving.  It is just too sensitive.",0.0
1318,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),M,Backup camera would not turn on at least 10 tones before software update/reset at BMW,0.0
1319,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),M,Speakers - all audio stopped working for 3 days until a software update/reset performed at BMW,-0.2263
1320,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),D,It doesnâ€™t recognize or misinterprets place names.,0.0
1327,BMW X3 4dr SUV,1,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"When very cold outside, multiple passengers, must always have defrost on.",0.0
2635,BMW X3 4dr SUV,8,Features/Controls/Displays (FCD),D,I am still not certain that I understand the nature of this feature or that I have seen it work.  However the icon comes up periodically on my dashboard.,-0.2057
2634,BMW X3 4dr SUV,8,Features/Controls/Displays (FCD),D,"Way too sensitive.  Too many controls do the same thing and interfere with one another, especially with rear tailgate.  Also door handle touching that lock and unlock the doors is very hit or miss.",-0.2177
2633,BMW X3 4dr SUV,8,Exterior,D,Not tall enough to be helpful.  More for decoration,0.4215
1338,BMW X3 4dr SUV,11,Driving Experience,D,,0.0
1339,BMW X3 4dr SUV,11,Features/Controls/Displays (FCD),M,": Keys do not retain individual  seat memory.  Remote often unintentionally opens tailgate.  Start/stop button works differently than on all other BMW's , not a good design change.  Console buttons, the least used button,  is the largest button, the largest button should be the most used.   Parking Brake and Auto High buttons are easily activated when getting into the car with a purse.  The set up with the 'I Drive' is incredibly complex and difficult to use,  for example, to change balance on radio, it takes many steps. Way too many options and choices - very distractive to the driver who should be watching the road.  All these problems are a daily headache and ones we never experience with our three previous BMW's other than the 'I Drive', which was always a problem.",-0.8768
2626,BMW X3 4dr SUV,1,Engine/Transmission,D,,0.0
2624,BMW X3 4dr SUV,1,Exterior,D,"Iâ€™ve already provided details in previous responses. : There is a noise that is constant at all speeds.  It interferes with the radio at a normal volume.  Itâ€™s not wind noise from mirrors, doors , moonroof.  It is not the engine noise, tire noise.    Our service tech has heard the noise,bit cannot identify it.  We have been to the dealer numerous times, they can not identify and fix the problem.",-0.4019
1467,BMW X3 4dr SUV,1,Engine/Transmission,M,"The engine shuts off too early when coming to a stop, resulting in a mild jerk when coming to a full stop.",-0.7003
1469,BMW X3 4dr SUV,1,Exterior,M,"I noticed when I washed my car last month,  the paint looks spoty. : the running boards look spotty",0.0
1675,BMW X3 4dr SUV,3,Interior,M,Right seatbelt rattles if not placed back flush,0.0
2553,BMW X3 4dr SUV,2,Interior,U,: One of the back panels in the rear cargo area keeps popping off itâ€™s not fitted properly.  Noticed this on delivery and they noted it saying they didnâ€™t think it was a problem however said to contact them if it continued,-0.4019
1697,BMW X3 4dr SUV,1,"Heating, Ventilation, and Air Conditioning (HVAC)",D,,0.0
2552,BMW X3 4dr SUV,2,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"Noted that as compared to my other car, the windows seem to have more condensation noted upon temperature fluctuations than my other car had.  It also takes longer for them to resolve or for he windows to ckear",0.3818
2550,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),D,This control is obstructed by other stuff on the steering column.  One needs to be able to use wipers quickly for safety.  Can't seem to.  Various controls and setting are confusing.,0.2263
1725,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,": The time, temperature and digital information displays on the control panel are small and difficult to read at a glance.",-0.3612
1726,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,": The time, temperature and digital information displays on the control panel are small and difficult to read at a glance.",-0.3612
1727,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1733,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,Not clear how to initiate or understand when it is ready to park,0.6249
1734,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),U,: LED turn signals in mirrors not programmed to work by factory,0.0
1735,BMW X3 4dr SUV,3,Interior,M,The plastic flip up cover for the rear storage area Tiedown popped off when a large box slid across it.,0.0
1784,BMW X3 4dr SUV,1,Exterior,M,"This supposedly has been fixed. See previous comments. : Water leaked through the roof piece and shorted out the emergency assistance program. We had to wait 31/2 weeks until it was repaired. We had the car 1 week after delivery.2nd problem - the driverâ€™s side, front and back ambiance door lighting does not work. At the dealership now!",-0.784
1793,BMW X3 4dr SUV,2,Features/Controls/Displays (FCD),M,"My husband also drives my car and needs hand controls to do so.  With the new completely digital system, I have an emergency malfunction error due to the airbag around my legs being disabled and removed.  The code covers the odometer so I donâ€™t know what my mileage is.  The dealership was unable to fix it. : Disabled emergency speaker which causes an emergency malfunction code.  It hides the odometer as itâ€™s all digital and was unable to be cleared at the dealership.",-0.765
1794,BMW X3 4dr SUV,2,Features/Controls/Displays (FCD),D,: Disabled emergency speaker which causes an emergency malfunction code.  It hides the odometer as itâ€™s all digital and was unable to be cleared at the dealership.,-0.6705
1866,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Sometimes when using navigation it goes to my phone and will not give me voice commands for directions.,0.0
1867,BMW X3 4dr SUV,1,Exterior,M,,0.0
1871,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1898,BMW X3 4dr SUV,3,Exterior,M,"Possibly sealing issue with door.  Sounds like air coming in/escaping.  Not loud, but like a quiet squeak sometimes.",0.6124
1899,BMW X3 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",M,"VERY MINOR - one fin inside the vent is not properly aligned. I am assuming it will be a quick easy fix.  I could probably fix it myself, but it is not an urgent issue and does not cause me any inconvenience.  It does not impact the HVAC system's effectiveness.",-0.4919
1900,BMW X3 4dr SUV,3,Interior,M,"Possibly sealing issue with door.  Sounds like air coming in/escaping.  Not loud, but like a quiet squeak sometimes.",0.6124
1904,BMW X3 4dr SUV,1,Interior,M,Saw it within the 2nd day,0.0
1914,BMW X3 4dr SUV,5,Exterior,M,there was a mis match of the latches so the passenger side would not latch. I had to fix it myself.,0.0
1916,BMW X3 4dr SUV,5,Exterior,M,Most of the car really is quieter then my 2013 X3 so the wind noise coming in the driver side door is very noticeable. The dealer is very far away several cities away from us so I try not to go to the dealer.,0.0
1674,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),D,Discussed with BMW. ALGOITHM is horrible.,-0.5423
1269,BMW X3 4dr SUV,2,Engine/Transmission,M,: Engine noise seems excessive at idle,0.0
1673,BMW X3 4dr SUV,3,Exterior,M,Sometimes tailgate does not open automatically and I have to lift it,0.0
1662,BMW X3 4dr SUV,2,Driving Experience,M,"Seems that it doesnâ€™t happen if I apply the brakes slowly and steadily, but that isnâ€™t always practical",0.0
1485,BMW X3 4dr SUV,1,Interior,M,"Happens each time I open the sun roof, but is getting better with each use.",0.5927
1491,BMW X3 4dr SUV,2,Driving Experience,M,This a X3 M40i but the wrong steering wheel was installed as the M3 steering week was not available. I am waiting for steering weel replacement with proper M3 steering weel. I took problem to dealer but not sure the status on the situation. I need to follow up with dealer.,-0.8791
1492,BMW X3 4dr SUV,2,Audio/Communication/Entertainment/Navigation (ACEN),D,Need to touch a command to get voice reconnection system works and need to be in certain part of the menu to be able to get voice command work. It is too limited. This a design problem not the car.,-0.3612
1493,BMW X3 4dr SUV,1,Engine/Transmission,M,Took nearly 3 weeks to fix this problem. Did not get any compensation for this. Sadly could not drive my new car.,-0.7488
1498,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"The problem itself does not happen all the time but once in a while, the phone wont sense the phone and automatically connect.",-0.2144
1499,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1519,BMW X3 4dr SUV,3,Driving Experience,M,Dealership replaced all 4 TPSM in order for brake light to go off after starting vehicle,0.0
1520,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),M,See earlier comment about TPMS,0.0
1521,BMW X3 4dr SUV,3,Engine/Transmission,M,Dealership replaced tank venting valve,0.0
1527,BMW X3 4dr SUV,5,Seats,D,there is constant adjustment to get the seat in a modestly comfortable position.,0.5106
1528,BMW X3 4dr SUV,5,Seats,D,the seat has never become comfortable.,-0.4023
1529,BMW X3 4dr SUV,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,not sure if the front defrost is working properly. takes a very long time to defrost the window in cold weather.,-0.2411
1530,BMW X3 4dr SUV,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,it is too loud. I cannot hear the radio,0.0
1531,BMW X3 4dr SUV,5,Engine/Transmission,M,the car stopped and didn't restart.,-0.2263
2588,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Nav directions guided correctly until the last turn of the route. This was a one time occurrence.,0.0
1647,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,"Sometimes the radio, dashlights, etc. don't turn off even after pressing the ignition off switch and opening the door multiple times. one might have to restart the car and go through the shutoff procedure again.",0.0
1648,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,"When backing up  slowly, especially in my daughter's driveway, but not exclusively, the car comes to an abrupt stop. This happens even though no vehicle or pedestrian is approaching from the side. : Sometimes, when backing up slowly, the vehicle stops automatically, even though there is no cross-traffic or pedestrian.",-0.8442
1649,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),D,": Sometimes the vehicle answers the phone or makes a call, but the audio does not transfer to the car.",0.0
2568,BMW X3 4dr SUV,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
2567,BMW X3 4dr SUV,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
2566,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),D,"Difficulty in getting vehicle to attempt parking in an obvious parallel parking opportunity. Still havenâ€™t successfully auto parallel parked. I have however been able to get the vehicle to perpendicular park once, and again, several parking opportunities were ignored by the vehicle",0.5994
2565,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),D,,0.0
2564,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),D,"No indication from vehicle, from the front or rear, in what should be alert situations to cross traffic.",0.0
1663,BMW X3 4dr SUV,2,Engine/Transmission,D,,0.0
1268,BMW X3 4dr SUV,2,Seats,D,Ink from pants is already starting to showe on seat,0.0
2653,BMW X3 4dr SUV,3,Engine/Transmission,U,": This has happened twice:  car will be parked on a hill .  Turn car on, it will move an inch and then jerk to a stop, like it believes there is an obstacle it doesn't want to hit.  Then it won't move, either forward or backward.  Both times, car eventually moved after what seemed like a long time but was probably only 4 or 5 minutes.  Once I called the dealer for help but by the time I got routed to a person, it moved.  Never figured out why it happened.",0.4384
1265,BMW X3 4dr SUV,1,Exterior,D,": The trunk opened unexpectedly while the vehicle was running, but in park.",0.0
959,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),D,": When in Apple Carplay mode, the built-in Navigation system of the vehicle is disabled and nothing appears in the headsup display.  So carplay must be disabled, you cannot select the factory Nav system when in carplay mode,  That's annoying.  Also, the controls for switching from Carplay to the BMW Connected drive mode are laborious.  This a design issue.",-0.4019
960,BMW X3 4dr SUV,3,Audio/Communication/Entertainment/Navigation (ACEN),U,"When in Apple Carplay mode, the built-in Navigation system of the vehicle is disabled and nothing appears in the headsup display.  So carplay must be disabled, you cannot select the factory Nav system when in carplay mode,  That's annoying.  Also, the controls for switching from Carplay to the BMW Connected drive mode are laborious.  This a design issue.",-0.4019
961,BMW X3 4dr SUV,3,Interior,M,This was noted in an online review as well.  There is a gap and sharp edge where some plastic material on the inside of the door handle meets the padded portion.,0.2732
973,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),M,"the rear window washer has an occasional leak, so the dealer is replacing it",-0.34
986,BMW X3 4dr SUV,1,Interior,M,"Didn't notice at the dealership, but on the way home .  Reported the next morning, via email.  Windshield was immediately ordered from Germany and installed when I was able to return to the dealership.",0.0
998,BMW X3 4dr SUV,1,Seats,M,Have visited the dealer two times to have it diagnosed. Need to have the replacement part shipped from Germany which takes about two weeks. Probably won't need this function in two weeks in my area after spring comes.,0.0
1001,BMW X3 4dr SUV,2,Features/Controls/Displays (FCD),M,Had wipers replaced immediately after delivery  but still feel they do not sweep as cleanly as they might,0.0
1002,BMW X3 4dr SUV,2,Interior,M,Seems to be related to unused seat belt when there is no passenger in front seat,-0.296
1020,BMW X3 4dr SUV,1,Interior,U,"Center console seems to get very, very warm.  Not sure why.",0.6168
1023,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,"Iâ€™m having problems understanding how to use the carâ€™s voice commands as opposed to Apple Car Play. It seems as though I canâ€™t use the carâ€™s features while Car Play is being used, which is always.",0.2732
947,BMW X3 4dr SUV,2,Interior,M,"The X3 has a low level. low frequency rattle over bumps that seems to be from behind the dashboard, but is difficult to localize.  It's not very loud, but is annoying.",-0.836
1032,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,No AUX port provided,-0.296
1044,BMW X3 4dr SUV,1,Exterior,M,"noise is noticed at highway speeds...driver's side, perhaps around mirror or roof column",0.0
2694,BMW X3 4dr SUV,2,Seats,M,The motorized adjustment just started cycling back and forth through the range without passenger attempt to adjust.  It continued until the car was shut off.  Has not yet happened a second time.,0.0
2693,BMW X3 4dr SUV,2,Exterior,M,I did,0.0
1072,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),D,"when weather is cold, shows lack of pressure in tire, even when tires are properly pressurized",-0.5267
1073,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),M,,0.0
2687,BMW X3 4dr SUV,3,"Heating, Ventilation, and Air Conditioning (HVAC)",D,This is my third BMW X3 and I still don't understand how to work the A/C,0.0
2686,BMW X3 4dr SUV,3,Seats,D,,0.0
2685,BMW X3 4dr SUV,3,Seats,D,,0.0
1119,BMW X3 4dr SUV,1,Seats,D,: Seat warmers don't get very warm nor do they stay at the temperature that they reach.,0.056
1120,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),M,: Back up camera goes black intermittently,0.0
1034,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),M,washer system not installed properly,0.0
946,BMW X3 4dr SUV,2,Driving Experience,D,"BMW brake pads on this vehicle produce an excessive amount od sticky, black dust that coats the wheels.  The wheels must be cleaned every week after only a few hundred miles of driving.",0.0
945,BMW X3 4dr SUV,1,Engine/Transmission,D,": I have twice noticed that when I am parked and put car in reverse to leave a parking space and then place car in Drive, the car does not move forward in Drive.  it appears that car slips into park.",-0.0516
943,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),M,,0.0
787,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,it does not vibrate all the time.,0.0
796,BMW X3 4dr SUV,3,Exterior,M,,0.0
797,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,SOMETIMES I CANNOT GET THE DOORS TO LOCK WITHOUT USING MY KEYLESS REMOTE AND IT IS VERY FRUSTRATING,-0.4927
798,BMW X3 4dr SUV,3,Features/Controls/Displays (FCD),D,Didn't know where/how to find my mileage on the vehicle.,0.0
2747,BMW X3 4dr SUV,3,Engine/Transmission,D,Shifting down to first at stop signs has a lurch.,-0.296
2746,BMW X3 4dr SUV,3,Seats,D,: The seat is too tall for normal height passengers under 6 ft..  Headrest is too high and does not support neck well.,-0.4717
2745,BMW X3 4dr SUV,3,Seats,D,: The seat is too tall for normal height passengers under 6 ft..  Headrest is too high and does not support neck well.,-0.4717
837,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,System fairly frequently fails to recognize spoken destination addresses.,-0.4215
838,BMW X3 4dr SUV,1,Interior,M,,0.0
2729,BMW X3 4dr SUV,1,Interior,M,,0.0
866,BMW X3 4dr SUV,1,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"At times this is very dangerous situation, it takes good time to defrost.",-0.1263
909,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),D,warning light in outside mirror. too far away. must turn head slightly. have had system in a volvo which was on inside a pillar. much quicker recognition.,-0.34
910,BMW X3 4dr SUV,2,Driving Experience,M,"steering was way off.  took to dealer and they corrected but I told them steering wheel is not 'straight'.  the technician was great. he took 2 test rides with me.  It's hard to tell sometimes if it is still pulling or if it is just the road causing the car to pull.  Either way, the steering wheel isn't quite straight.",0.5755
911,BMW X3 4dr SUV,2,Interior,D,We try not to touch the doors with our shoes when we open the doors but if we do it tends to scuff very easily.,0.5483
918,BMW X3 4dr SUV,5,Exterior,M,auto sensor at ground level does not open back hatch reliably when passing foot below sensor,0.0
919,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),D,"sometimes the system notes vehicles in blind spot, sometimes not",-0.4019
920,BMW X3 4dr SUV,5,Features/Controls/Displays (FCD),D,unclear what makes the alarm activate,-0.5267
921,BMW X3 4dr SUV,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,could not find way to get air where it was desired,0.2732
922,BMW X3 4dr SUV,5,"Heating, Ventilation, and Air Conditioning (HVAC)",D,"does not come to set temperature, too warm on a cold day",0.2263
938,BMW X3 4dr SUV,3,Seats,D,,0.0
939,BMW X3 4dr SUV,3,Seats,D,Doesnâ€™t always adjust to my key settings I have to manually change : Lost memory settings,-0.3182
940,BMW X3 4dr SUV,3,Seats,D,No adjustments for shorter people,-0.296
942,BMW X3 4dr SUV,1,Interior,M,Vinyl has small tear.,0.0
1123,BMW X3 4dr SUV,1,Audio/Communication/Entertainment/Navigation (ACEN),D,I have the apple connect.  Somehow my phone pairing and my husband's pairing were completely wiped out.,0.0
785,BMW X3 4dr SUV,3,Exterior,M,Does not open when kicked. : Boot. Does not open up when kicked.,0.0
1127,BMW X3 4dr SUV,1,Features/Controls/Displays (FCD),M,: Rear window washer nozzle leaks under hard acceleration sometimes.  Maybe twice a week...,-0.1027
1134,BMW X3 4dr SUV,1,Exterior,D,Pirelli tires are noisy....quite sure the noise is tire noise.,0.3182
1186,BMW X3 4dr SUV,6,Interior,D,,0.0
1187,BMW X3 4dr SUV,6,Engine/Transmission,M,The automatic  cut off engine function is irritating,-0.6249
1214,BMW X3 4dr SUV,4,Driving Experience,D,Do I even have a parking break,0.0
1215,BMW X3 4dr SUV,4,Features/Controls/Displays (FCD),M,As stated above. Took to dealer for adjustment. It wasnâ€™t done,0.0
1216,BMW X3 4dr SUV,4,Audio/Communication/Entertainment/Navigation (ACEN),D,The routes nav chooses make no sense,-0.296
1217,BMW X3 4dr SUV,4,Interior,D,I want to be able to remove it. I have been unsuccessful.,-0.296
1218,BMW X3 4dr SUV,7,Exterior,M,,0.0
1219,BMW X3 4dr SUV,7,Features/Controls/Displays (FCD),M,Occasionally the headlights and taillights will stay on all night long.,0.0
1220,BMW X3 4dr SUV,7,Features/Controls/Displays (FCD),M,Experienced double vision at night. Mirror replaced.,0.25
